127.0.0.1 - - [30/Jan/2023:14:46:15 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.jsf;jsessionid=AA86C672186D9DEDBCAFCE02B9ED1396?ln=primefaces&v=5.0 HTTP/1.1" 200 55447
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28043
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/layout/layout.css.jsf;jsessionid=AA86C672186D9DEDBCAFCE02B9ED1396?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=AA86C672186D9DEDBCAFCE02B9ED1396?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=AA86C672186D9DEDBCAFCE02B9ED1396?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.jsf;jsessionid=AA86C672186D9DEDBCAFCE02B9ED1396?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/layout/layout.js.jsf;jsessionid=AA86C672186D9DEDBCAFCE02B9ED1396?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:17 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:23 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:24 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6500
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/layout/layout.css.jsf;jsessionid=8BDE1696C794574C6AF14C264FDE4693?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28043
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=8BDE1696C794574C6AF14C264FDE4693?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/layout/layout.js.jsf;jsessionid=8BDE1696C794574C6AF14C264FDE4693?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.jsf;jsessionid=8BDE1696C794574C6AF14C264FDE4693?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.jsf;jsessionid=8BDE1696C794574C6AF14C264FDE4693?ln=primefaces&v=5.0 HTTP/1.1" 200 55447
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=8BDE1696C794574C6AF14C264FDE4693?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:46:34 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6150
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 55447
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/layout/layout.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/layout/layout.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
